median,lci,uci,current_uncontrolled,insurance_loss,state,scenario,disease
468.2977099514974,468.2977099514974,468.2977099514974,240492.05919684083,21832.06107,Rhode Island,Full_Exemption,hypertension
130.99236642000324,130.99236642000324,130.99236642000324,50672.23989766211,21832.06107,Rhode Island,Full_Exemption,cholesterol
160.28955282831066,159.83592554454276,160.79581366811627,11755.06904323046,8956.743003,South Dakota,Full_Exemption,diabetes
192.1221374143497,192.1221374143497,192.1221374143497,181397.26811718874,8956.743003,South Dakota,Full_Exemption,hypertension
53.740458018000936,53.740458018000936,53.740458018000936,38220.8290681702,8956.743003,South Dakota,Full_Exemption,cholesterol
447.2708359739918,446.30811091860124,448.34243845261153,45345.53320190536,24631.04326,Utah,Full_Exemption,diabetes
528.3358779270202,528.3358779270202,528.3358779270202,699745.4301537994,24631.04326,Utah,Full_Exemption,hypertension
147.78625956000178,147.78625956000178,147.78625956000178,147438.00033340923,24631.04326,Utah,Full_Exemption,cholesterol
370.92794693543055,370.00342973364525,371.95792916920976,8976.639350854306,19592.87532,Vermont,Full_Exemption,diabetes
420.2671756139898,420.2671756139898,420.2671756139898,138522.1855464947,19592.87532,Vermont,Full_Exemption,hypertension
117.55725191999954,117.55725191999954,117.55725191999954,29186.948794077474,19592.87532,Vermont,Full_Exemption,cholesterol
2660.258429919406,2656.8294459813355,2664.063037626328,118773.40519361517,144987.2774,Virginia,Full_Exemption,diabetes
3109.977100230055,3109.977100230055,3109.977100230055,1832840.8916921841,144987.2774,Virginia,Full_Exemption,hypertension
869.9236644000048,869.9236644000048,869.9236644000048,386183.86681139667,144987.2774,Virginia,Full_Exemption,cholesterol
3003.8240173234008,2999.1973645915887,3008.961998157021,108971.61327796426,162900.7634,Washington,Full_Exemption,diabetes
3494.2213749301154,3494.2213749301154,3494.2213749301154,1681585.4401407405,162900.7634,Washington,Full_Exemption,hypertension
977.4045803999761,977.4045803999761,977.4045803999761,354313.98905975465,162900.7634,Washington,Full_Exemption,cholesterol
812.9740463686048,810.5051730416388,815.7306512624261,23792.96533067625,44223.91858,West Virginia,Full_Exemption,diabetes
948.6030535409809,948.6030535409809,948.6030535409809,367158.9588729087,44223.91858,West Virginia,Full_Exemption,hypertension
265.34351147999405,265.34351147999405,265.34351147999405,77361.25220399079,44223.91858,West Virginia,Full_Exemption,cholesterol
1958.3287179933395,1956.1660796352953,1960.726490000778,81097.13712512747,104681.9338,Wisconsin,Full_Exemption,diabetes
2245.427480010083,2245.427480010083,2245.427480010083,1251443.0219442106,104681.9338,Wisconsin,Full_Exemption,hypertension
628.0916028000065,628.0916028000065,628.0916028000065,263681.9745233621,104681.9338,Wisconsin,Full_Exemption,cholesterol
