median,lci,uci,efficiency,failure_to_report,insurance_loss
12091.600223235262,2475.4909812408328,24916.9411441861,0.02,0.72,8233676.332689601
12259.539115224616,2509.8728004248583,25263.00977118868,0.02,0.73,8348032.948421401
12427.47800721397,2544.254619608776,25609.078398191148,0.02,0.74,8462389.5641532
12595.41689920344,2578.6364387925832,25955.14702519396,0.02,0.75,8576746.179885
12763.355791192851,2613.0182579763878,26301.21565219643,0.02,0.76,8691102.795616802
12931.294683182146,2647.4000771603082,26647.28427919901,0.02,0.77,8805459.411348602
13099.233575171558,2681.7818963444533,26993.352906201486,0.02,0.78,8919816.027080402
13267.17246716097,2716.163715528371,27339.421533204295,0.02,0.79,9034172.642812202
13435.111359150382,2750.545534712056,27685.490160206762,0.02,0.8,9148529.258544002
13603.050251139677,2784.927353895977,28031.558787209346,0.02,0.81,9262885.874275802
13770.989143129089,2819.3091730798947,28377.627414211816,0.02,0.8200000000000001,9377242.490007602
13938.928035118442,2853.690992263926,28723.696041214625,0.02,0.8300000000000001,9491599.105739402
14106.866927107796,2888.0728114478466,29069.764668217093,0.02,0.8400000000000001,9605955.721471202
14274.805819097266,2922.4546306315347,29415.833295219792,0.02,0.8500000000000001,9720312.337203002
14442.74471108662,2956.8364498154524,29761.901922222147,0.02,0.86,9834668.952934802
14610.683603075915,2991.21826899937,30107.970549224847,0.02,0.87,9949025.568666602
14778.622495065443,3025.6000881832883,30454.039176227423,0.02,0.88,10063382.184398402
14946.561387054739,3059.981907367203,30800.107803230127,0.02,0.89,10177738.800130202
15114.500279044034,3094.363726551124,31146.176430232706,0.02,0.9,10292095.415862001
8368.496810727753,1713.266895947364,17244.80950813477,0.03,0.5,5698459.497385
8535.866746942338,1747.5322338664178,17589.705698297523,0.03,0.51,5812428.6873327
8703.236683156923,1781.7975717854688,17934.60188846027,0.03,0.52,5926397.8772804
8870.60661937145,1816.0629097042927,18279.498078622797,0.03,0.53,6040367.0672281
9037.976555586036,1850.3282476232303,18624.39426878555,0.03,0.54,6154336.2571758
9205.346491800621,1884.593585542281,18969.2904589483,0.03,0.55,6268305.4471235005
9372.71642801509,1918.8589234611109,19314.186649111052,0.03,0.56,6382274.637071201
9540.086364229559,1953.1242613800425,19659.08283927358,0.03,0.5700000000000001,6496243.827018901
9707.456300444202,1987.3895992990992,20003.979029436334,0.03,0.58,6610213.016966599
9874.82623665873,2021.6549372179231,20348.875219599086,0.03,0.59,6724182.206914299
10042.196172873373,2055.920275136977,20693.77140976184,0.03,0.6,6838151.396861999
10209.5661090879,2090.1856130559117,21038.667599924363,0.03,0.61,6952120.586809699
10376.936045302486,2124.4509509747354,21383.563790087115,0.03,0.62,7066089.7767574
10544.305981516954,2158.716288893789,21728.459980249867,0.03,0.63,7180058.9667051
10711.67591773154,2192.981626812727,22073.356170412615,0.03,0.64,7294028.1566528
10879.045853946067,2227.2469647316643,22418.252360575254,0.03,0.65,7407997.3466005
11046.415790160652,2261.5123026506017,22763.148550737897,0.03,0.66,7521966.5365482
11213.785726375238,2295.7776405696586,23108.04474090065,0.03,0.67,7635935.7264959
11381.155662589765,2330.0429784884764,23452.940931063287,0.03,0.6799999999999999,7749904.916443599
11548.52559880435,2364.308316407414,23797.83712122604,0.03,0.69,7863874.1063912995
11715.895535018819,2398.5736543264707,24142.73331138879,0.03,0.7,7977843.296339
11883.265471233346,2432.838992245408,24487.629501551426,0.03,0.71,8091812.4862867
12050.63540744799,2467.104330164232,24832.525691714178,0.03,0.72,8205781.6762344
12218.005343662575,2501.369668083283,25177.421881876817,0.03,0.73,8319750.8661821
12385.37527987716,2535.635006002337,25522.318072039572,0.03,0.74,8433720.0561298
12552.745216091746,2569.900343921161,25867.214262202324,0.03,0.75,8547689.2460775
12720.115152306273,2604.165681840095,26212.110452364854,0.03,0.76,8661658.4360252
12887.4850885208,2638.4310197591494,26557.0066425276,0.03,0.77,8775627.6259729
13054.855024735269,2672.696357677973,26901.902832690354,0.03,0.78,8889596.8159206
13222.22496094997,2706.9616955969163,27246.79902285311,0.03,0.79,9003566.0058683
13389.59489716444,2741.2270335159615,27591.69521301563,0.03,0.8,9117535.195816
13556.964833379083,2775.4923714350184,27936.59140317838,0.03,0.81,9231504.385763701
13724.33476959361,2809.7577093538425,28281.48759334114,0.03,0.8200000000000001,9345473.575711401
13891.704705808079,2844.02304727278,28626.383783503887,0.03,0.8300000000000001,9459442.765659101
14059.074642022664,2878.288385191831,28971.279973666413,0.03,0.8400000000000001,9573411.955606801
14226.444578237133,2912.5537231106546,29316.176163829165,0.03,0.8500000000000001,9687381.145554502
14393.814514451835,2946.819061029595,29661.072353991916,0.03,0.86,9801350.3355022
14561.184450666304,2981.084398948646,30005.96854415456,0.03,0.87,9915319.5254499
14728.554386880889,3015.34973686747,30350.864734317307,0.03,0.88,10029288.7153976
14895.924323095474,3049.615074786521,30695.760924479942,0.03,0.89,10143257.9053453
15063.294259310002,3083.880412705458,31040.657114642698,0.03,0.9,10257227.095293
8340.049021986604,1707.442832699747,17186.187666140497,0.04,0.5,5679088.20818
8506.850002426247,1741.5916893538206,17529.911419463187,0.04,0.51,5792669.9723436
8673.650982866064,1775.7405460077775,17873.635172785995,0.04,0.52,5906251.736507201
8840.45196330588,1809.8894026618539,18217.35892610881,0.04,0.53,6019833.5006708
9007.252943745407,1844.038259315811,18561.082679431725,0.04,0.54,6133415.2648344
9174.053924185282,1878.1871159698817,18904.806432754533,0.04,0.55,6246997.028998001
9340.854904624983,1912.3359726238446,19248.530186077118,0.04,0.56,6360578.793161601
9507.6558850648,1946.484829277912,19592.25393940015,0.04,0.5700000000000001,6474160.557325201
9674.4568655045,1980.6336859317614,19935.977692722845,0.04,0.58,6587742.3214887995
9841.257845944201,2014.782542585829,20279.701446045543,0.04,0.59,6701324.0856524
10008.05882638396,2048.9313992397892,20623.425199368576,0.04,0.6,6814905.849816
10174.85980682366,2083.0802558936384,20967.148952691266,0.04,0.61,6928487.6139796
10341.660787263361,2117.2291125478196,21310.872706014186,0.04,0.62,7042069.3781432
10508.461767703178,2151.3779692016633,21654.596459336884,0.04,0.63,7155651.1423068
10675.26274814282,2185.52682585585,21998.320212659575,0.04,0.64,7269232.9064704
10842.06372858258,2219.6756825096963,22342.04396598261,0.04,0.65,7382814.670634001
11008.864709022339,2253.8245391638834,22685.76771930531,0.04,0.66,7496396.434797601
11175.665689461981,2287.973395817727,23029.491472628113,0.04,0.67,7609978.1989612
11342.466669901798,2322.122252471911,23373.21522595092,0.04,0.6799999999999999,7723559.9631248
11509.267650341557,2356.2711091257606,23716.93897927384,0.04,0.69,7837141.7272884
11676.0686307812,2390.419965779942,24060.662732596425,0.04,0.7,7950723.491451999
11842.869611220958,2424.568822433791,24404.38648591934,0.04,0.71,8064305.255615599
12009.670591660775,2458.717679087975,24748.11023924215,0.04,0.72,8177887.0197792
12176.471572100418,2492.866535741705,25091.833992565076,0.04,0.73,8291468.7839428
12343.272552540177,2527.0153923957814,25435.55774588788,0.04,0.74,8405050.5481064
12510.073532979935,2561.1642490497356,25779.28149921046,0.04,0.75,8518632.31227
12676.874513419694,2595.3131057036985,26123.00525253338,0.04,0.76,8632214.0764336
12843.675493859395,2629.4619623577632,26466.729005856192,0.04,0.77,8745795.840597201
13010.476474299037,2663.610819011726,26810.452759178996,0.04,0.78,8859377.6047608
13177.277454738913,2697.7596756657995,27154.176512501916,0.04,0.79,8972959.3689244
13344.078435178439,2731.9085323197564,27497.9002658245,0.04,0.8,9086541.133088
13510.879415618256,2766.057388973827,27841.624019147534,0.04,0.81,9200122.8972516
13677.680396058073,2800.20624562779,28185.347772470228,0.04,0.8200000000000001,9313704.6614152
13844.481376497773,2834.3551022818606,28529.07152579304,0.04,0.8300000000000001,9427286.425578801
14011.282356937532,2868.5039589358207,28872.79527911596,0.04,0.8400000000000001,9540868.189742401
14178.083337377233,2902.652815589664,29216.519032438762,0.04,0.8500000000000001,9654449.953906002
14344.884317816934,2936.801672243621,29560.24278576157,0.04,0.86,9768031.7180696
14511.68529825675,2970.9505288976975,29903.966539084267,0.04,0.87,9881613.4822332
14678.486278696393,3005.0993855516517,30247.690292407075,0.04,0.88,9995195.2463968
